,Product_name,1,2,3,4,5
88,Bride Tribe Party Cups (8 count),Pink Brush Confetti Snack Plates,I Said Yes! Napkins,Mermaid Squad Tassel Garland,Blush Gold Dots Snack Plates,Last Fling Before The Ring Napkins
89,Bride Tribe Pins Party Pack (Set of 12),Future Mrs. | Cheers Bitches Koozies - Future Mrs. (White Koozie),Pink Bachelorette Sash,Inflatable Selfie Frame,Daisy Sunnies,Bride Tribe Frost Flex Cups (8 count)
90,Bride Tribe Pins Party Pack - 10 Pack,"Drink Up, Bitches! Paper Shot Cups (10 count)",Bride Squad Napkins,Yay Wine! Wine Tumbler Set,Bachelorette Bash Acrylic Wine Tumbler,Gold Bachelorette Tattoos Mix Pack
91,Bride Tribe Pins Party Pack - 12 Pack,You Had Me at Tacos Napkins,Cheers Bitches Can Coolers - Future Mrs. (White Koozie),Cheers Bitches Tanks - Future Mrs. (White Tank) ,Chillin' With My Beaches Party Cups (8 count),Clear Glass Diamond Sipper with Straw
92,Bride Tribe Pins Party Pack - 15 Pack,Drink Up Bitches! Napkins,Sip Sip Hooray Banner,Bubbly Bar Banner,Mylar Love Calligraphy Balloon,She Said Yaaas Banner
93,Bride Tribe Stemless Wine Tumblers - Bride,Cheers Bitches Banner,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) ,Let's Flamingle Snack Plates,Pineapple Snack Plates,Rose All Day Napkins
94,Bride Tribe Stemless Wine Tumblers - Bride Tribe,White Bachelorette Sash,Light Pink Party Balloons,Lingerie Shower Bingo,Black & White Drunk in Love Tanks - Drunk in Love (White Tank) ,Black & White Drunk in Love Tanks - Just Drunk (Black Tank) 
95,Bride Tribe Sunnies - Bride,Bride Tribe Sunnies - Bride Tribe (Black Frames),Bride Tribe Sunnies - Bride Tribe (Light Pink Frames),Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),Same Penis Forever Banner,Drunk in Love Can Coolers - Pink (Just Drunk)
96,Bride Tribe Sunnies - Bride Tribe (Black Frames),Bride Tribe Sunnies - Bride,Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),Bride Tribe Sunnies - Bride Tribe (Light Pink Frames),Aloha Beaches Koozies - White (Aloha Bride),Drunk in Love Can Coolers - Pink (Just Drunk)
97,Bride Tribe Sunnies - Bride Tribe (Light Pink Frames),Bride Tribe Sunnies - Bride,Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),Bride Tribe Sunnies - Bride Tribe (Black Frames),I Said Yes! Shot Cups (8 count),Aloha Beaches Koozies - White (Aloha Bride)
98,Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),Bride Tribe Sunnies - Bride,Bride Tribe Sunnies - Bride Tribe (Light Pink Frames),Bride Tribe Sunnies - Bride Tribe (Black Frames),Aloha Beaches Koozies - White (Aloha Bride),Mint Ombre Confetti Tumbler
99,Bride Tribe Tanks - Bride (Grey Tank) ,"Drink Up, Bitches! Shot Cups (10 count)",Bachelorette Bash Party Cups (8 count),Bachelorette Photo Booth Props,Bride To Be Sashes - Light Pink,Bride Tribe Tanks - Bride Tribe (Black Tank) 
100,Bride Tribe Tanks - Bride (White Tank) ,Bride Tribe Tanks - Bride Tribe (Black Tank) ,Bride Tribe Tanks - Bride Tribe (Mint) ,Bride Tribe Pins Party Pack - 10 Pack,Bride Tribe Tanks - Bride Tribe (Pink) ,Inflatable Bride Crown
101,Bride Tribe Tanks - Bride Tribe (Black Tank) ,Bride Tribe Tanks - Bride (White Tank) ,Bride Tribe Tanks - Bride Tribe (Mint) ,Bride Tribe Tanks - Bride (Grey Tank) ,Bride Tribe Pins Party Pack - 10 Pack,"Drink Up, Bitches! Shot Cups (10 count)"
102,Bride Tribe Tanks - Bride Tribe (Mint) ,Bride Tribe Tanks - Bride (White Tank) ,Bride Tribe Tanks - Bride Tribe (Black Tank) ,Bride Tribe Tanks - Bride Tribe (Pink) ,Bride Tribe Koozies - Neon Pink (Bride Tribe),Bride Headband
103,Bride Tribe Tanks - Bride Tribe (Pink) ,Bride Tribe Tanks - Bride Tribe (Mint) ,Bride Tribe Tanks - Bride Tribe (Black Tank) ,Bride Tribe Tanks - Bride (White Tank) ,Bride Tribe Koozies - Neon Pink (Bride Tribe),Custom Listing for Morgan Kelly
104,Bride Tribe Tassel Garland,Rose Gold Confetti Balloon Bundle,The Last Syrah Banner,Nashelorette Banner,Gold Photo Booth Backdrop,Drunk in Love Tanks - Just Drunk (Pink) 
105,Bride Tribe Tissue Paper Tassel Garland,Pink Ombre Confetti Tumbler,Last Fling Before The Ring Napkins,Bachelorette Bash Banner,Engagement Ring Garland,Unicorn Drink Floaties Set
106,Bride Zippered Pouch,Bride Squad Shot Cups (10 count),Drunk in Love Tanks - Just Drunk (Pink) ,Drunk in Love Tanks - Just Drunk (Black Tank) ,Pink Confetti Balloon Bundle,I Do Crew Gift Bags (Set of 5)
107,Bride's Babes Headband,You Had Me at Tacos Napkins,Drink Please! Bar Top Bell,Cheers Bitches Tanks - Future Mrs. (White Tank) ,Chillin' With My Beaches Party Cups (8 count),Clear Glass Diamond Sipper with Straw
108,Bride's Babes Party Cups (8 count),Ros̩ For Days Napkins,Cheers Beaches Banner,Last Fling Before The Ring Shot Cups (8 count),Nashelorette Banner,Miss to Mrs Confetti Balloons
109,Bride's Babes Tees - Bride (White) ,Bride's Babes Tees - Bride's Babes (Peach) ,"""Brides Have More Fun"" Tees - Blonde (Heather Black) ","""Brides Have More Fun"" Tees - Brunette (Heather Black) ",Bach & Boujee Banner,Mini Vino Before Vows Party Garland
110,Bride's Babes Tees - Bride's Babes (Peach) ,Bride's Babes Tees - Bride (White) ,"""Brides Have More Fun"" Tees - Blonde (Heather Black) ","""Brides Have More Fun"" Tees - Brunette (Heather Black) ",Bach & Boujee Banner,Mini Vino Before Vows Party Garland
111,Bride's Drinking Team Frost Flex Cups (8 count),Light Pink Bachelorette Bash Napkins,Last Fling Before The Ring Paper Shot Cups (10 count),Pink Polka Dot Party Straws,Pink Party Tissue Paper Tassel Garland,Pink Brush Confetti Snack Plates
112,Bride's Drinking Team Napkins,She Said Yes Napkins,Ros̩ For Days Napkins,Rose All Day Napkins,Same Penis Forever Party Cups (8 count),Future Mrs. Veil
113,Bride's Drinking Team Party Cups (8 count),Drunk in Love Koozies - Neon Pink (Just Drunk),I Said Yes! Napkins,Mini Bride Crowns - Silver (Plain),Rose All Day Napkins,Pink Brush Stripes Mini Treat Plates
