,item 1,item 2,count
250,Bachelorette Bash Acrylic Wine Tumbler,Bride Squad Frost Flex Wine Cups (8 count),1
251,Bachelorette Bash Acrylic Wine Tumbler,Bride Squad Napkins,1
252,Bachelorette Bash Acrylic Wine Tumbler,Bride To Be Headband - Hot Pink,1
253,Bachelorette Bash Acrylic Wine Tumbler,Bride To Be Headband - Light Pink,1
254,Bachelorette Bash Acrylic Wine Tumbler,Bubbly Bar Banner,1
255,Bachelorette Bash Acrylic Wine Tumbler,Cheer's Y'all Banner,1
256,Bachelorette Bash Acrylic Wine Tumbler,Drink Up Bitches! Napkins,1
257,Bachelorette Bash Acrylic Wine Tumbler,"Drink Up, Bitches! Paper Shot Cups (10 count)",1
258,Bachelorette Bash Acrylic Wine Tumbler,Gold Chevron Party Straws,1
259,Bachelorette Bash Acrylic Wine Tumbler,"Grey, Pink & Mint Drunk in Love Tanks - Drunk in Love (Grey Tank) ",1
260,Bachelorette Bash Acrylic Wine Tumbler,Inflatable Bride Crown,1
261,Bachelorette Bash Acrylic Wine Tumbler,Lingerie Shower Garland,1
262,Bachelorette Bash Acrylic Wine Tumbler,Magnolias & Mimosas Tissue Paper Tassel Garland,1
263,Bachelorette Bash Acrylic Wine Tumbler,Miss to Mrs. Banner,1
264,Bachelorette Bash Acrylic Wine Tumbler,Mylar Love Calligraphy Balloon,1
265,Bachelorette Bash Acrylic Wine Tumbler,Pink Brush Confetti Snack Plates,1
266,Bachelorette Bash Acrylic Wine Tumbler,Pink Party Balloons,1
267,Bachelorette Bash Banner,"36"" Mylar Engagement Ring Balloon",2
268,Bachelorette Bash Banner,Bach & Boujee Party Cups (8 count),1
269,Bachelorette Bash Banner,Bachelorette Bash Banner,1
270,Bachelorette Bash Banner,Bachelorette Photo Booth Props,1
271,Bachelorette Bash Banner,Black & White Bride Tribe Tanks - Bride (White Tank) ,1
272,Bachelorette Bash Banner,Bride Headband,1
273,Bachelorette Bash Banner,Bride Koozies - White,1
274,Bachelorette Bash Banner,"Bride To Be ""Mad Libs""",2
275,Bachelorette Bash Banner,Bride To Be Headband - Hot Pink,1
276,Bachelorette Bash Banner,Bride To Be Sunnies,1
277,Bachelorette Bash Banner,Bride Tribe Frost Flex Cups (8 count),1
278,Bachelorette Bash Banner,Bride Tribe Koozies - White (Bride),1
279,Bachelorette Bash Banner,Bubbly Bar Banner,1
280,Bachelorette Bash Banner,Champagne Campaign Party Cups (8 count),1
281,Bachelorette Bash Banner,Confetti Balloons,1
282,Bachelorette Bash Banner,Diamond Treat Toppers,1
283,Bachelorette Bash Banner,Drinking Buddies Drink Markers,1
284,Bachelorette Bash Banner,Engagement Ring Garland,5
285,Bachelorette Bash Banner,Feelin' Nauti Shot Cups (10 count),1
286,Bachelorette Bash Banner,Final Fiesta Snack Plates,1
287,Bachelorette Bash Banner,Flamingo Straws,1
288,Bachelorette Bash Banner,Future Wifey Headband,1
289,Bachelorette Bash Banner,Gold Chevron Party Straws,2
290,Bachelorette Bash Banner,Gold Stripe Party Straws,3
291,Bachelorette Bash Banner,Heart Sunnies - White,2
292,Bachelorette Bash Banner,I Do Crew Flower Crowns - White,1
293,Bachelorette Bash Banner,I Do Crew Gift Bags (Set of 5),1
294,Bachelorette Bash Banner,I Do Crew Gold Confetti Balloons,2
295,Bachelorette Bash Banner,I Do Crew Photo Booth Props,1
296,Bachelorette Bash Banner,Inflatable Hunk Ring Toss,1
297,Bachelorette Bash Banner,Last Fling Before The Ring Napkins,6
298,Bachelorette Bash Banner,Light Pink Bachelorette Bash Napkins,1
299,Bachelorette Bash Banner,Lingerie Shower Garland,2
300,Bachelorette Bash Banner,Miss to Mrs Confetti Balloons,1
301,Bachelorette Bash Banner,Pineapple Cheers! Napkins,1
302,Bachelorette Bash Banner,Pineapple Party Napkins,1
303,Bachelorette Bash Banner,Pink Bride Straw,1
304,Bachelorette Bash Banner,Pink Brush Confetti Snack Plates,1
305,Bachelorette Bash Banner,Pink Chevron Party Straws,2
306,Bachelorette Bash Banner,Pink Stripe Party Straws,1
307,Bachelorette Bash Banner,Pop The Bubbly Napkins,1
308,Bachelorette Bash Banner,Rose Gold Team Bride Confetti,1
309,Bachelorette Bash Banner,Sip Sip Hooray Napkins,1
310,Bachelorette Bash Banner,Sun & Sand Koozies (10 count) - Single Koozie (Coral),1
311,Bachelorette Bash Banner,Sun & Sand Koozies (10 count) - Single Koozie (White),1
312,Bachelorette Bash Banner,Team Bride Party Straws,1
313,Bachelorette Bash Banner,Team Bride Photo Booth Props,3
314,Bachelorette Bash Banner,You Had Me at Tacos Napkins,1
315,Bachelorette Bash Party Cups (8 count),"36"" Mylar Engagement Ring Balloon",1
316,Bachelorette Bash Party Cups (8 count),Bachelorette Photo Booth Props,1
317,Bachelorette Bash Party Cups (8 count),Bride Pin - Silver,1
318,Bachelorette Bash Party Cups (8 count),Bride's Drinking Team Party Cups (8 count),1
319,Bachelorette Bash Party Cups (8 count),Cheers Beaches Party Cups (8 count),1
320,Bachelorette Bash Party Cups (8 count),Confetti Balloons,1
321,Bachelorette Bash Party Cups (8 count),"Drink Up, Bitches! Shot Cups (10 count)",1
322,Bachelorette Bash Party Cups (8 count),Engagement Ring Drink Floaties Set,1
323,Bachelorette Bash Party Cups (8 count),Flamingo Drink Floaties Set,1
324,Bachelorette Bash Party Cups (8 count),Flamingo Straws,1
325,Bachelorette Bash Party Cups (8 count),I Do Crew Gold Confetti Balloons,1
326,Bachelorette Bash Party Cups (8 count),I Got The Hubby | We Got The Bubbly Party Cups (8 count),1
327,Bachelorette Bash Party Cups (8 count),Pink Foil Photo Booth Backdrop,1
328,Bachelorette Bash Party Cups (8 count),Rose Gold Ring Bling Napkins,1
329,Bachelorette Dare Cards,Bachelorette Bash Acrylic Wine Tumbler,1
330,Bachelorette Dare Cards,Bachelorette Dare Cards,29
331,Bachelorette Dare Cards,Bachelorette Photo Booth Props,1
332,Bachelorette Dare Cards,Bachelorette Tattoo Party Pack,2
333,Bachelorette Dare Cards,Blue & Purple Confetti Tumbler,1
334,Bachelorette Dare Cards,Blush Ombre Dots Snack Plates,1
335,Bachelorette Dare Cards,Bride & Bride Tribe Sunnies - Bride,1
336,Bachelorette Dare Cards,Bride Headband,2
